"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Western Pacific","Mongolia","Female","142","141.83460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Western Pacific","Mongolia","Both sexes","227","227.00030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Western Pacific","Mongolia","Male","304","304.06510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Western Pacific","Mongolia","Female","137","137.45490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Western Pacific","Mongolia","Both sexes","222","221.61870","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Western Pacific","Mongolia","Male","301","300.99300","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Western Pacific","Mongolia","Female","134","134.27610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Western Pacific","Mongolia","Both sexes","218","218.27580","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Western Pacific","Mongolia","Male","298","298.37870","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Western Pacific","Mongolia","Female","131","131.48830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Western Pacific","Mongolia","Both sexes","215","215.44950","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Western Pacific","Mongolia","Male","296","295.89000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Western Pacific","Mongolia","Female","129","128.99650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Western Pacific","Mongolia","Both sexes","213","212.93010","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Western Pacific","Mongolia","Male","294","293.59920","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Western Pacific","Mongolia","Female","127","126.84290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Western Pacific","Mongolia","Both sexes","211","210.70920","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mozambique","Male","460","459.69700","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mozambique","Female","400","400.31640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mozambique","Both sexes","428","428.28720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mozambique","Male","462","461.70890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mozambique","Female","407","407.17490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mozambique","Both sexes","433","432.83510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mozambique","Male","466","465.53380","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mozambique","Female","416","416.17810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mozambique","Both sexes","439","439.37290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mozambique","Male","469","469.01730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mozambique","Female","426","425.74960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mozambique","Both sexes","446","446.04820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mozambique","Male","469","469.15550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mozambique","Female","433","433.02800","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mozambique","Both sexes","450","449.93780","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mozambique","Male","468","467.78500","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mozambique","Female","439","439.01570","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mozambique","Both sexes","452","452.45190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mozambique","Male","464","463.97130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mozambique","Female","441","441.08030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mozambique","Both sexes","452","451.73720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mozambique","Male","455","455.00130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mozambique","Female","435","434.53070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mozambique","Both sexes","444","444.03350","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mozambique","Male","442","441.53400","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mozambique","Female","415","414.58690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mozambique","Both sexes","427","427.08810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mozambique","Male","431","430.59900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mozambique","Female","399","398.68850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mozambique","Both sexes","414","413.50900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mozambique","Male","428","428.18490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mozambique","Female","392","392.17310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mozambique","Both sexes","409","408.91840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mozambique","Male","427","427.25110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mozambique","Female","387","386.75630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mozambique","Both sexes","406","405.58510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mozambique","Male","427","426.98810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mozambique","Female","385","384.83670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mozambique","Both sexes","404","404.41390","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mozambique","Male","426","426.14280","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mozambique","Female","381","381.34790","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mozambique","Both sexes","402","402.14840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mozambique","Male","415","415.29740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mozambique","Female","361","361.44890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mozambique","Both sexes","387","386.55560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mozambique","Male","401","400.75240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mozambique","Female","321","321.08220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mozambique","Both sexes","359","358.67290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mozambique","Male","386","385.79160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mozambique","Female","292","291.77910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mozambique","Both sexes","336","336.40210","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mauritania","Male","256","255.50850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mauritania","Female","205","205.13220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mauritania","Both sexes","229","229.03080","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mauritania","Male","254","254.48760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mauritania","Female","204","203.54960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mauritania","Both sexes","228","227.81620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mauritania","Male","254","254.10730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mauritania","Female","203","202.58500","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mauritania","Both sexes","227","227.23770","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mauritania","Male","253","252.90160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mauritania","Female","201","201.47550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mauritania","Both sexes","226","226.18290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mauritania","Male","251","251.32200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mauritania","Female","201","200.55360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mauritania","Both sexes","225","225.05130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mauritania","Male","250","249.77840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mauritania","Female","200","199.51050","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mauritania","Both sexes","224","223.90330","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mauritania","Male","246","246.39680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mauritania","Female","197","197.39610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mauritania","Both sexes","221","221.28910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mauritania","Male","243","243.24620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mauritania","Female","195","195.01510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mauritania","Both sexes","219","218.68180","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mauritania","Male","241","240.65780","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mauritania","Female","193","192.81540","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mauritania","Both sexes","216","216.44860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mauritania","Male","238","237.96270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mauritania","Female","191","190.98090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mauritania","Both sexes","214","214.30980","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mauritania","Male","236","236.06790","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mauritania","Female","189","189.47220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mauritania","Both sexes","213","212.70460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mauritania","Male","234","233.71830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mauritania","Female","188","188.11570","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mauritania","Both sexes","211","210.89400","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mauritania","Male","230","229.87890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mauritania","Female","187","186.93790","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mauritania","Both sexes","208","208.37350","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mauritania","Male","229","228.99340","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mauritania","Female","186","186.00230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mauritania","Both sexes","207","207.47650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mauritania","Male","227","227.34190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mauritania","Female","184","183.73360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mauritania","Both sexes","206","205.53960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mauritania","Male","226","225.73560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mauritania","Female","182","182.12710","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mauritania","Both sexes","204","203.95440","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mauritania","Male","224","224.14680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mauritania","Female","181","180.54830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mauritania","Both sexes","202","202.38090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mauritius","Male","221","221.36700","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mauritius","Female","121","120.64740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Mauritius","Both sexes","172","171.79930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mauritius","Male","223","223.02440","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mauritius","Female","119","118.66200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Mauritius","Both sexes","172","171.52290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mauritius","Male","233","233.06330","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mauritius","Female","111","110.81670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Mauritius","Both sexes","173","173.10100","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mauritius","Male","219","218.69890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mauritius","Female","116","116.45320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Mauritius","Both sexes","168","168.39930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mauritius","Male","216","215.78760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mauritius","Female","109","109.16240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Mauritius","Both sexes","164","163.60610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mauritius","Male","217","216.86920","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mauritius","Female","109","108.73160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Mauritius","Both sexes","164","163.84390","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mauritius","Male","212","211.61860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mauritius","Female","110","110.44310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Mauritius","Both sexes","162","162.09790","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mauritius","Male","213","212.69110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mauritius","Female","105","105.42840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Mauritius","Both sexes","160","160.36410","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mauritius","Male","219","219.23430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mauritius","Female","107","107.44310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Mauritius","Both sexes","165","164.82220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mauritius","Male","225","224.88920","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mauritius","Female","102","102.27720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Mauritius","Both sexes","165","165.37340","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mauritius","Male","214","214.28220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mauritius","Female","107","106.96220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Mauritius","Both sexes","162","162.04220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mauritius","Male","212","211.68930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mauritius","Female","97","96.83647","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Mauritius","Both sexes","156","156.06400","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mauritius","Male","199","199.40660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mauritius","Female","102","102.01550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Mauritius","Both sexes","152","151.95620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mauritius","Male","193","192.86520","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mauritius","Female","95","94.83042","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Mauritius","Both sexes","145","145.16320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mauritius","Male","194","194.30180","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mauritius","Female","99","98.80576","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Mauritius","Both sexes","148","147.79800","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mauritius","Male","195","195.27320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mauritius","Female","98","97.66832","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Mauritius","Both sexes","148","147.84710","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mauritius","Male","194","194.25070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mauritius","Female","94","93.66273","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Mauritius","Both sexes","145","145.35460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Malawi","Male","567","566.74220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Malawi","Female","507","506.73650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Malawi","Both sexes","535","535.18120","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Malawi","Male","572","572.04430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Malawi","Female","517","516.80370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Malawi","Both sexes","543","542.59760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Malawi","Male","575","575.14380","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Malawi","Female","524","523.92230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Malawi","Both sexes","547","547.42620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Malawi","Male","577","576.76000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Malawi","Female","528","528.20720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Malawi","Both sexes","550","550.07830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Malawi","Male","576","575.55040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Malawi","Female","528","527.76370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Malawi","Both sexes","549","548.92110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Malawi","Male","565","565.35500","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Malawi","Female","512","511.73350","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Malawi","Both sexes","535","535.43240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Malawi","Male","546","545.51300","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Malawi","Female","483","483.38590","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Malawi","Both sexes","511","511.14830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Malawi","Male","518","517.77040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Malawi","Female","443","443.00270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Malawi","Both sexes","477","476.94420","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Malawi","Male","485","485.23630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Malawi","Female","398","398.00410","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Malawi","Both sexes","438","438.10140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Malawi","Male","451","450.52670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Malawi","Female","355","354.94350","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Malawi","Both sexes","399","399.17080","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Malawi","Male","420","419.77270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Malawi","Female","320","319.95130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Malawi","Both sexes","366","366.25910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Malawi","Male","397","397.38550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Malawi","Female","297","297.02080","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Malawi","Both sexes","344","343.67570","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Malawi","Male","380","379.59380","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Malawi","Female","277","276.92060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Malawi","Both sexes","325","324.84580","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Malawi","Male","356","355.63330","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Malawi","Female","247","247.45550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Malawi","Both sexes","298","298.35520","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Malawi","Male","337","336.69770","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Malawi","Female","228","227.79950","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Malawi","Both sexes","279","279.25770","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Malawi","Male","323","323.39090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Malawi","Female","215","214.98060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Malawi","Both sexes","266","266.39730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Malawi","Male","312","311.72990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Malawi","Female","203","202.78250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Malawi","Both sexes","255","254.72190","","",""
