"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Low-income","Mali","12.98","12.98408","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Low-income","Mali","13.74","13.74137","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Low-income","Mali","14.81","14.81370","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Low-income","Mali","12.14","12.14201","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Low-income","Mali","12.23","12.22613","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Low-income","Mali","12.18","12.17793","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Low-income","Mali","12.42","12.41679","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Low-income","Mali","4.74","4.74362","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Low-income","Mali","5.64","5.64284","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","High-income","Malta","9.76","9.75803","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","High-income","Malta","9.88","9.87570","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2001","South-East Asia","Lower-middle-income","Myanmar","1.38","1.38132","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2006","Europe","Upper-middle-income","Montenegro","13.59","13.59070","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2007","Europe","Upper-middle-income","Montenegro","11.39","11.39279","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2008","Europe","Upper-middle-income","Montenegro","9.68","9.68331","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2009","Europe","Upper-middle-income","Montenegro","7.31","7.31400","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2010","Europe","Upper-middle-income","Montenegro","9.51","9.51383","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2011","Europe","Upper-middle-income","Montenegro","9.11","9.11266","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2012","Europe","Upper-middle-income","Montenegro","9.84","9.84266","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2013","Europe","Upper-middle-income","Montenegro","9.84","9.84266","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2014","Europe","Upper-middle-income","Montenegro","9.84","9.84266","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Western Pacific","Upper-middle-income","Mongolia","9.77","9.77162","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Western Pacific","Upper-middle-income","Mongolia","10.60","10.59977","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Western Pacific","Upper-middle-income","Mongolia","9.94","9.93558","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Western Pacific","Upper-middle-income","Mongolia","9.62","9.62005","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Western Pacific","Upper-middle-income","Mongolia","10.13","10.12906","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Western Pacific","Upper-middle-income","Mongolia","11.09","11.08733","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Western Pacific","Upper-middle-income","Mongolia","11.08","11.08390","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Western Pacific","Upper-middle-income","Mongolia","9.73","9.73292","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Western Pacific","Upper-middle-income","Mongolia","8.67","8.66791","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Western Pacific","Upper-middle-income","Mongolia","9.18","9.18376","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Western Pacific","Upper-middle-income","Mongolia","9.88","9.88318","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Western Pacific","Upper-middle-income","Mongolia","9.15","9.15110","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Western Pacific","Upper-middle-income","Mongolia","7.75","7.75186","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Western Pacific","Upper-middle-income","Mongolia","8.46","8.46035","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Western Pacific","Upper-middle-income","Mongolia","7.81","7.80840","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Western Pacific","Upper-middle-income","Mongolia","8.41","8.40678","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2002","South-East Asia","Lower-middle-income","Myanmar","2.38","2.38374","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2003","South-East Asia","Lower-middle-income","Myanmar","1.74","1.73951","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2004","South-East Asia","Lower-middle-income","Myanmar","1.89","1.88899","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2005","South-East Asia","Lower-middle-income","Myanmar","1.13","1.13298","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2006","South-East Asia","Lower-middle-income","Myanmar","1.56","1.56397","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2007","South-East Asia","Lower-middle-income","Myanmar","1.28","1.27780","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2008","South-East Asia","Lower-middle-income","Myanmar","1.48","1.47799","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2009","South-East Asia","Lower-middle-income","Myanmar","1.49","1.48813","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2010","South-East Asia","Lower-middle-income","Myanmar","1.77","1.77392","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2011","South-East Asia","Lower-middle-income","Myanmar","1.79","1.79077","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2012","South-East Asia","Lower-middle-income","Myanmar","3.28","3.28063","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2013","South-East Asia","Lower-middle-income","Myanmar","3.28","3.28063","","",""
"General government expenditure on health as a percentage of total government expenditure","Myanmar note","Published","2014","South-East Asia","Lower-middle-income","Myanmar","3.59","3.59309","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","1995","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","1996","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","1997","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","1998","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","1999","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2000","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2001","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2002","Europe","Upper-middle-income","Montenegro","16.87","16.86589","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2003","Europe","Upper-middle-income","Montenegro","17.75","17.74933","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2004","Europe","Upper-middle-income","Montenegro","16.89","16.89381","","",""
"General government expenditure on health as a percentage of total government expenditure","Montenegro note","Published","2005","Europe","Upper-middle-income","Montenegro","14.35","14.34706","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Western Pacific","Upper-middle-income","Mongolia","6.84","6.84310","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Lower-middle-income","Mauritania","5.41","5.40654","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Lower-middle-income","Mauritania","6.50","6.50011","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Lower-middle-income","Mauritania","9.81","9.80713","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Lower-middle-income","Mauritania","13.58","13.58492","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Lower-middle-income","Mauritania","10.80","10.79535","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Lower-middle-income","Mauritania","6.20","6.20342","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Lower-middle-income","Mauritania","8.76","8.76038","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Lower-middle-income","Mauritania","5.61","5.61375","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Lower-middle-income","Mauritania","8.00","8.00447","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Lower-middle-income","Mauritania","7.09","7.09420","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Lower-middle-income","Mauritania","5.91","5.91202","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Lower-middle-income","Mauritania","6.49","6.48941","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Lower-middle-income","Mauritania","5.29","5.29287","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Lower-middle-income","Mauritania","7.59","7.58549","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Lower-middle-income","Mauritania","6.77","6.76699","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Lower-middle-income","Mauritania","5.69","5.68634","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Lower-middle-income","Mauritania","4.58","4.58019","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Lower-middle-income","Mauritania","6.01","6.01029","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Lower-middle-income","Mauritania","6.01","6.01029","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Upper-middle-income","Mauritius","8.99","8.98685","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Upper-middle-income","Mauritius","8.51","8.50690","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Upper-middle-income","Mauritius","7.74","7.74300","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Upper-middle-income","Mauritius","9.93","9.93285","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Upper-middle-income","Mauritius","8.21","8.21322","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Upper-middle-income","Mauritius","8.71","8.70827","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Western Pacific","Upper-middle-income","Mongolia","5.81","5.81010","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Western Pacific","Upper-middle-income","Mongolia","5.50","5.49923","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Western Pacific","Upper-middle-income","Mongolia","6.72","6.72004","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","1995","Africa","Low-income","Mozambique","14.05","14.04687","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","1996","Africa","Low-income","Mozambique","14.05","14.04687","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","1997","Africa","Low-income","Mozambique","13.65","13.65438","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","1998","Africa","Low-income","Mozambique","15.03","15.03306","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","1999","Africa","Low-income","Mozambique","16.13","16.12646","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2000","Africa","Low-income","Mozambique","16.99","16.99348","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2001","Africa","Low-income","Mozambique","14.75","14.75014","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2002","Africa","Low-income","Mozambique","15.53","15.53208","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2003","Africa","Low-income","Mozambique","14.98","14.97513","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2004","Africa","Low-income","Mozambique","13.85","13.84626","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2005","Africa","Low-income","Mozambique","18.24","18.24370","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2006","Africa","Low-income","Mozambique","15.19","15.19346","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2007","Africa","Low-income","Mozambique","12.78","12.77579","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2008","Africa","Low-income","Mozambique","10.50","10.50137","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2009","Africa","Low-income","Mozambique","8.57","8.57046","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2010","Africa","Low-income","Mozambique","10.37","10.37362","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2011","Africa","Low-income","Mozambique","7.75","7.74918","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2012","Africa","Low-income","Mozambique","8.81","8.81232","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2013","Africa","Low-income","Mozambique","8.81","8.81232","","",""
"General government expenditure on health as a percentage of total government expenditure","Mozambique note","Published","2014","Africa","Low-income","Mozambique","8.81","8.81232","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Lower-middle-income","Mauritania","9.20","9.20309","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Upper-middle-income","Mauritius","10.85","10.85322","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Low-income","Malawi","20.03","20.03050","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Low-income","Malawi","13.25","13.25150","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Low-income","Malawi","19.94","19.93715","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Low-income","Malawi","18.52","18.51721","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Low-income","Malawi","20.12","20.12189","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Low-income","Malawi","20.69","20.68989","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Low-income","Malawi","22.10","22.09774","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Low-income","Malawi","16.77","16.76807","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Low-income","Malawi","16.77","16.76807","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Western Pacific","Upper-middle-income","Malaysia","5.23","5.22960","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Western Pacific","Upper-middle-income","Malaysia","5.29","5.28535","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Western Pacific","Upper-middle-income","Malaysia","4.70","4.70060","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Western Pacific","Upper-middle-income","Malaysia","4.74","4.73869","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Western Pacific","Upper-middle-income","Malaysia","4.95","4.94532","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Western Pacific","Upper-middle-income","Malaysia","5.25","5.25378","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Western Pacific","Upper-middle-income","Malaysia","5.37","5.36972","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Western Pacific","Upper-middle-income","Malaysia","5.20","5.20290","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Western Pacific","Upper-middle-income","Malaysia","5.92","5.92483","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Western Pacific","Upper-middle-income","Malaysia","6.37","6.36517","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Western Pacific","Upper-middle-income","Malaysia","5.32","5.32250","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Western Pacific","Upper-middle-income","Malaysia","5.88","5.87803","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Western Pacific","Upper-middle-income","Malaysia","5.64","5.64193","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Western Pacific","Upper-middle-income","Malaysia","5.15","5.15273","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Western Pacific","Upper-middle-income","Malaysia","5.89","5.89012","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Western Pacific","Upper-middle-income","Malaysia","6.75","6.74730","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Upper-middle-income","Mauritius","9.34","9.34139","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Upper-middle-income","Mauritius","8.82","8.81739","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Upper-middle-income","Mauritius","9.74","9.74233","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Upper-middle-income","Mauritius","9.38","9.38289","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Upper-middle-income","Mauritius","8.82","8.81729","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Upper-middle-income","Mauritius","8.86","8.85502","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Upper-middle-income","Mauritius","7.95","7.94729","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Upper-middle-income","Mauritius","8.53","8.53124","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Upper-middle-income","Mauritius","10.29","10.29367","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Upper-middle-income","Mauritius","9.99","9.98643","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Upper-middle-income","Mauritius","9.85","9.84821","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Upper-middle-income","Mauritius","9.52","9.52140","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Upper-middle-income","Mauritius","9.99","9.99252","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Low-income","Malawi","5.06","5.06289","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Low-income","Malawi","5.06","5.06289","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Low-income","Malawi","5.06","5.06289","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Low-income","Malawi","5.18","5.18459","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Low-income","Malawi","6.54","6.54114","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Low-income","Malawi","8.98","8.98018","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Low-income","Malawi","8.72","8.71631","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Low-income","Malawi","12.96","12.96216","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Low-income","Malawi","16.73","16.72730","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Low-income","Malawi","21.02","21.02276","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Low-income","Malawi","19.99","19.99219","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Western Pacific","Upper-middle-income","Malaysia","6.36","6.35887","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Low-income","Niger","9.27","9.26609","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Low-income","Niger","9.90","9.89636","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Low-income","Niger","9.33","9.33097","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Low-income","Niger","8.59","8.58768","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Low-income","Niger","8.43","8.43169","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Low-income","Niger","10.10","10.10465","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Low-income","Niger","9.89","9.88646","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Low-income","Niger","9.39","9.38597","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Low-income","Niger","8.97","8.96822","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Low-income","Niger","14.78","14.78472","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Low-income","Niger","16.08","16.08276","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Low-income","Niger","12.24","12.24358","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Low-income","Niger","11.38","11.38014","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Low-income","Niger","10.66","10.66367","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Low-income","Niger","10.69","10.69246","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Low-income","Niger","8.58","8.57581","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Low-income","Niger","7.60","7.59863","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Low-income","Niger","7.57","7.56875","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Low-income","Niger","7.57","7.56875","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","1995","Africa","Lower-middle-income","Nigeria","6.09","6.08909","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","1996","Africa","Lower-middle-income","Nigeria","6.09","6.08909","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","1997","Africa","Lower-middle-income","Nigeria","6.09","6.08909","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","1998","Africa","Lower-middle-income","Nigeria","6.09","6.08909","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","1999","Africa","Lower-middle-income","Nigeria","4.46","4.45508","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Western Pacific","Upper-middle-income","Malaysia","5.71","5.70728","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Western Pacific","Upper-middle-income","Malaysia","5.88","5.87617","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Western Pacific","Upper-middle-income","Malaysia","6.45","6.44961","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Upper-middle-income","Namibia","13.22","13.21705","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Upper-middle-income","Namibia","13.79","13.79418","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Upper-middle-income","Namibia","14.09","14.08649","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Upper-middle-income","Namibia","14.04","14.04382","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Upper-middle-income","Namibia","14.21","14.21120","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Upper-middle-income","Namibia","13.88","13.88383","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Upper-middle-income","Namibia","11.22","11.21892","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Upper-middle-income","Namibia","11.89","11.89079","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Upper-middle-income","Namibia","11.87","11.87125","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Upper-middle-income","Namibia","11.20","11.20049","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Upper-middle-income","Namibia","12.81","12.80769","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Upper-middle-income","Namibia","11.83","11.83480","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Upper-middle-income","Namibia","14.70","14.69690","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Upper-middle-income","Namibia","13.86","13.85598","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Upper-middle-income","Namibia","13.86","13.85598","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Upper-middle-income","Namibia","13.86","13.85598","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Upper-middle-income","Namibia","13.86","13.85598","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Upper-middle-income","Namibia","13.86","13.85598","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Upper-middle-income","Namibia","13.86","13.85598","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Upper-middle-income","Namibia","13.86","13.85598","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Low-income","Niger","8.99","8.99103","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2000","Africa","Lower-middle-income","Nigeria","5.93","5.92873","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Americas","Lower-middle-income","Nicaragua","18.60","18.59623","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Americas","Lower-middle-income","Nicaragua","17.13","17.12734","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Americas","Lower-middle-income","Nicaragua","18.82","18.82355","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Americas","Lower-middle-income","Nicaragua","18.11","18.11298","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Americas","Lower-middle-income","Nicaragua","19.99","19.98922","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Americas","Lower-middle-income","Nicaragua","19.83","19.83115","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Americas","Lower-middle-income","Nicaragua","19.11","19.10540","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Americas","Lower-middle-income","Nicaragua","18.68","18.67956","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Americas","Lower-middle-income","Nicaragua","19.84","19.83657","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Americas","Lower-middle-income","Nicaragua","23.95","23.95123","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","1995","Western Pacific","Low-income","Niue","8.14","8.14296","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","1996","Western Pacific","Low-income","Niue","5.49","5.49097","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","1997","Western Pacific","Low-income","Niue","6.38","6.37572","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","1998","Western Pacific","Low-income","Niue","5.66","5.65774","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","1999","Western Pacific","Low-income","Niue","7.00","7.00000","","",""
